age,experience,fg_per_game,fga_per_game,x3p_per_game,x3pa_per_game,x2p_per_game,x2pa_per_game,ft_per_game,fta_per_game,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
23.0,4,7.3,14.3,2.0,6.0,5.3,8.3,3.5,4.8,0.5,3.3,3.8,2.5,1.5,0.0,2.0,1.0,20.0
28.0,7,5.3,10.0,2.3,4.3,3.0,5.7,1.3,1.3,0.0,3.3,3.3,2.0,0.7,0.0,1.3,4.3,14.3
27.0,8,6.7,12.3,0.7,1.7,6.0,10.7,3.7,5.3,3.7,11.3,15.0,5.7,1.7,0.7,2.3,3.3,17.7
20.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,7,12.3,22.7,2.7,8.0,9.7,14.7,4.7,5.3,1.7,3.7,5.3,4.7,3.3,1.0,2.3,1.3,32.0
27.0,6,2.3,6.0,1.3,4.0,1.0,2.0,0.3,0.5,0.8,2.0,2.8,2.5,1.0,0.3,1.3,2.3,6.0
30.0,8,5.0,9.3,3.3,7.3,1.7,2.0,0.3,1.0,1.0,5.3,6.3,2.0,0.3,0.7,2.0,2.0,13.7
32.0,10,2.0,3.8,1.5,2.8,0.5,1.0,0.0,0.0,0.0,1.3,1.3,1.0,0.3,0.3,0.0,1.3,5.5
33.0,12,2.5,6.0,0.0,1.0,2.5,5.0,0.0,0.5,1.0,4.5,5.5,6.0,0.0,0.5,2.5,2.5,5.0
26.0,6,2.3,3.8,0.0,0.0,2.3,3.8,0.8,1.5,1.5,4.8,6.3,2.5,0.3,1.8,1.8,2.5,5.3
26.0,2,2.0,4.0,1.3,2.0,0.7,2.0,0.0,0.0,0.3,0.7,1.0,2.7,1.3,0.3,0.7,1.3,5.3
29.0,6,4.5,9.8,2.8,7.0,1.8,2.8,0.0,0.0,0.8,1.0,1.8,0.8,0.3,0.0,0.3,2.3,11.8
32.0,10,2.0,2.0,0.5,0.5,1.5,1.5,1.0,1.0,2.0,1.5,3.5,0.0,0.5,2.0,0.5,0.5,5.5
27.0,4,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,1.5
20.0,2,2.3,6.0,0.3,2.0,2.0,4.0,0.0,1.3,0.7,3.7,4.3,2.0,1.0,0.3,1.0,2.3,5.0
31.0,8,1.0,2.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0
23.0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,1,1.5,4.5,1.0,3.0,0.5,1.5,0.5,1.0,0.5,2.5,3.0,0.5,0.0,0.5,0.5,0.5,4.5
35.0,16,6.8,15.0,2.8,8.3,4.0,6.8,0.3,0.3,0.5,2.0,2.5,2.8,0.5,0.3,1.8,1.5,16.5
26.0,3,3.5,4.0,0.5,0.5,3.0,3.5,1.5,2.0,2.0,2.0,4.0,1.0,0.5,0.5,0.5,0.0,9.0
22.0,3,6.3,13.5,0.3,0.3,6.0,13.3,3.0,4.0,3.0,8.8,11.8,3.0,0.0,2.3,1.5,2.8,15.8
23.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,3,5.5,14.5,2.5,7.5,3.0,7.0,4.5,4.8,1.5,4.8,6.3,3.0,1.0,0.5,2.8,2.8,18.0
29.0,8,5.7,15.3,2.7,7.7,3.0,7.7,1.3,1.7,0.0,3.0,3.0,7.0,1.0,0.0,2.0,2.3,15.3
26.0,7,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
27.0,5,2.8,7.0,0.3,3.5,2.5,3.5,0.3,0.5,0.5,0.5,1.0,3.0,1.5,0.0,0.5,2.5,6.0
29.0,10,3.8,6.0,2.3,4.0,1.5,2.0,0.3,0.8,1.0,1.8,2.8,1.5,0.3,0.3,1.0,0.3,10.0
31.0,8,3.0,6.8,1.5,3.8,1.5,3.0,0.8,1.0,0.5,2.0,2.5,1.3,2.0,0.5,0.5,2.3,8.3
25.0,6,3.8,11.5,1.8,5.0,2.0,6.5,1.0,2.8,0.8,1.8,2.5,1.3,1.3,0.3,0.5,1.5,10.3
30.0,8,2.0,7.8,1.0,5.3,1.0,2.5,0.0,0.0,0.8,2.3,3.0,1.0,0.0,0.3,0.8,2.8,5.0
29.0,11,10.3,18.7,0.3,2.3,10.0,16.3,6.3,10.0,3.3,6.7,10.0,2.7,1.0,1.7,4.0,3.0,27.3
24.0,5,0.7,0.7,0.0,0.0,0.7,0.7,1.3,2.0,0.7,0.7,1.3,1.0,0.3,0.0,0.3,0.3,2.7
33.0,14,5.3,11.3,1.3,2.3,4.0,9.0,2.7,3.3,1.3,4.3,5.7,5.3,2.0,0.7,3.0,2.3,14.7
20.0,1,1.8,4.5,1.0,2.8,0.8,1.8,0.5,0.5,0.8,1.5,2.3,0.5,0.5,0.0,0.3,2.3,5.0
25.0,5,4.0,8.3,3.0,6.7,1.0,1.7,1.3,1.7,0.7,4.3,5.0,0.7,0.0,0.3,2.0,3.3,12.3
28.0,6,3.3,7.8,2.5,5.8,0.8,2.0,1.5,1.5,1.3,4.0,5.3,3.0,0.5,0.3,1.5,2.3,10.5
19.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,12,6.0,10.0,2.0,4.3,4.0,5.7,3.0,4.0,0.3,3.0,3.3,1.7,0.7,0.3,0.3,1.3,17.0
25.0,3,3.0,6.3,1.3,3.0,1.7,3.3,1.7,2.3,1.0,3.0,4.0,1.7,1.0,1.7,1.3,4.0,9.0
23.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
